de.innogames.onyx.city.ui.windows.academy.cauldron.models.data.GobletState	481309	de_innogames_onyx_city_ui_windows_academy_cauldron_models_data_GobletState
de.innogames.onyx.city.ui.windows.academy.cauldron.models.data.PotionEffectCardDisplayState	481395	de_innogames_onyx_city_ui_windows_academy_cauldron_models_data_PotionEffectCardDisplayState
de.innogames.onyx.city.ui.windows.academy.cauldron.views.brew._IngredientComponent.IngredientState	482743	de_innogames_onyx_city_ui_windows_academy_cauldron_views_brew__$IngredientComponent_IngredientState
de.innogames.onyx.city.ui.windows.academy.cauldron.views.brew.IngredientsListState	482853	de_innogames_onyx_city_ui_windows_academy_cauldron_views_brew_IngredientsListState
de.innogames.onyx.city.ui.windows.academy.cauldron.views.brew.IngredientAction	482859	de_innogames_onyx_city_ui_windows_academy_cauldron_views_brew_IngredientAction
de.innogames.onyx.city.ui.windows.academy.craftingredesign.control._CraftingController.ControllerDataState	489278	de_innogames_onyx_city_ui_windows_academy_craftingredesign_control__$CraftingController_ControllerDataState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.CraftingHighlightsState	489504	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_CraftingHighlightsState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.DisplayedRecipeState	489607	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_DisplayedRecipeState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.MysticalObjectRewardState	489700	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_MysticalObjectRewardState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.NormalRecipesState	489707	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_NormalRecipesState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.RecipesRefreshState	489724	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_RecipesRefreshState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.SpecialRecipesState	489731	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_SpecialRecipesState
de.innogames.onyx.city.ui.windows.academy.craftingredesign.data.viewmodel.CostType	489831	de_innogames_onyx_city_ui_windows_academy_craftingredesign_data_viewmodel_CostType
de.innogames.onyx.city.ui.windows.components.data.BuildingInfoComponentType	495940	de_innogames_onyx_city_ui_windows_components_data_BuildingInfoComponentType
de.innogames.onyx.cmp.models.UserCentricsState	512062	de_innogames_onyx_cmp_models_UserCentricsState
de.innogames.onyx.constants.ApplicationModuleName	512504	de_innogames_onyx_constants_ApplicationModuleName
de.innogames.onyx.constants.BattleType	512516	de_innogames_onyx_constants_BattleType
de.innogames.onyx.guardians.controller._GuardiansController.FetchState	514620	de_innogames_onyx_guardians_controller__$GuardiansController_FetchState
de.innogames.onyx.guardians.data.DisplayedState	514673	de_innogames_onyx_guardians_data_DisplayedState
de.innogames.onyx.guardians.data.GuardianAssetType	514679	de_innogames_onyx_guardians_data_GuardianAssetType
de.innogames.onyx.guardians.data.GuardianDisplayState	514718	de_innogames_onyx_guardians_data_GuardianDisplayState
de.innogames.onyx.guardians.data.GuardianHeaderVisibility	514771	de_innogames_onyx_guardians_data_GuardianHeaderVisibility
de.innogames.onyx.guardians.data.GuardianPanelState	514777	de_innogames_onyx_guardians_data_GuardianPanelState
de.innogames.onyx.guardians.data.GuardianStageOverviewState	514783	de_innogames_onyx_guardians_data_GuardianStageOverviewState
de.innogames.onyx.guardians.data.GuardianSummonState	514789	de_innogames_onyx_guardians_data_GuardianSummonState
de.innogames.onyx.guardians.views.windows.tabs.collection.GuardianCollectionItemEventType	516245	de_innogames_onyx_guardians_views_windows_tabs_collection_GuardianCollectionItemEventType
de.innogames.onyx.networking.vos.EnumClientSlotStateVO	529693	de_innogames_onyx_networking_vos_EnumClientSlotStateVO
de.innogames.onyx.networking.vos.EnumCurrencyEventMainRewardTypeVO	529703	de_innogames_onyx_networking_vos_EnumCurrencyEventMainRewardTypeVO
de.innogames.onyx.networking.vos.EnumGuardianStateVO	529710	de_innogames_onyx_networking_vos_EnumGuardianStateVO
de.innogames.onyx.networking.vos.EnumIppTypeVO	529717	de_innogames_onyx_networking_vos_EnumIppTypeVO
de.innogames.onyx.seasonalevents.models.data.properties.SeasonalEventPropertyType	545836	de_innogames_onyx_seasonalevents_models_data_properties_SeasonalEventPropertyType
de.innogames.onyx.shared.data.Data	549729	de_innogames_onyx_shared_data_Data
de.innogames.onyx.shared.dragAndDrop.DragAndDropState	550203	de_innogames_onyx_shared_dragAndDrop_DragAndDropState
